,vec0,vec1,vec2,vec3,vec4,vec5,vec6,vec7,vec8,vec9,vec10,vec11,vec12,vec13,vec14,vec15,vec16,vec17,vec18,vec19
41,-0.323254,-0.102696,-0.155984,0.218881,0.157305,0.216816,-0.034022,-0.509186,0.122467,0.499693,0.166218,-0.262093,0.147050,-0.102057,-0.074179,-0.092911,0.220555,0.211171,-0.009046,0.114932
42,-0.413784,-0.123440,-0.280146,0.185618,0.137214,0.148058,-0.009786,-0.517445,-0.018206,0.254838,0.130091,-0.217311,0.132987,-0.148149,-0.054429,-0.032157,0.282426,0.122576,0.013398,-0.011194
43,-0.389933,-0.221515,-0.297014,0.177064,0.285297,0.181407,0.135493,-0.205557,0.479780,0.076563,-0.081403,0.067322,0.013163,-0.196283,0.039435,0.105674,0.348589,0.301549,0.191930,-0.008111
44,-0.390615,-0.103466,-0.002241,0.190454,0.062247,0.076668,-0.017523,-0.306850,0.232379,0.719542,0.491798,-0.333304,0.067482,-0.146021,-0.068288,0.009428,0.216742,0.227225,-0.311386,0.049413
45,-0.218121,0.026480,-0.032787,0.182606,0.170507,0.071100,0.048864,-0.319260,0.224203,0.320134,0.195925,-0.087195,0.019306,0.014582,-0.070173,0.053127,0.281298,0.315105,-0.086760,-0.002289
46,-0.398889,-0.075502,0.135480,-0.164482,0.596929,0.282964,0.123769,-0.065009,0.742741,0.270918,0.187724,0.145203,-0.234747,-0.223863,0.098876,0.091234,0.257251,0.759025,0.149584,0.082660
47,-0.280203,0.039338,-0.006253,0.187849,0.261857,0.116853,0.077627,-0.347890,0.279598,0.499244,0.382467,-0.141987,0.012768,0.088513,-0.093203,0.041198,0.349984,0.435154,-0.172236,0.007293
48,-0.411362,0.074027,-0.022500,0.185994,0.248382,0.265539,-0.131149,-0.529664,0.053686,0.611398,0.535656,-0.414276,0.053486,-0.082248,-0.050826,-0.217138,0.192763,0.365237,-0.049962,-0.075625
49,-0.718627,-0.069904,-0.168061,0.182532,0.440271,0.098051,0.086040,-0.698403,0.331958,0.462748,0.463254,-0.440059,0.120550,0.014138,0.004996,0.028032,0.650929,0.556646,-0.168963,-0.213146
50,-0.390297,0.050353,0.024956,0.001411,0.420811,0.171420,-0.054868,-0.106885,0.599363,0.255791,0.166171,0.095145,-0.132211,-0.121079,0.147464,0.001730,0.188662,0.616407,0.062398,0.007565
51,-0.404850,-0.054262,-0.263452,0.382465,0.328553,0.400171,-0.336897,-0.853216,0.141123,0.935652,0.266330,-0.471463,0.348749,-0.222652,0.023243,-0.246169,0.119403,0.122326,0.077317,0.092920
52,-0.382688,0.039301,-0.195620,0.426870,0.291487,0.366605,-0.318893,-0.794800,0.388955,0.879703,0.277186,-0.353728,0.256351,-0.083849,0.051678,-0.217911,0.099097,0.174869,-0.095758,0.070742
53,-0.536557,-0.062756,-0.187370,0.265427,0.245271,0.239027,-0.251848,-0.721094,0.075628,0.865032,0.436001,-0.498589,0.227889,-0.107337,0.009456,-0.224022,0.198454,0.334121,-0.046673,0.027494
54,-0.187066,0.001938,0.195074,-0.170618,0.194563,0.028270,-0.001840,-0.148408,0.265077,0.393548,0.408580,-0.198074,-0.116405,0.127266,0.032510,0.028564,0.082410,0.389889,-0.041192,0.082620
55,-0.283179,0.039637,0.174352,-0.064693,0.240644,0.088055,-0.012741,-0.236705,0.249407,0.450947,0.446144,-0.246820,-0.013766,0.095856,0.014516,0.024346,0.206484,0.513557,-0.087498,0.110728
56,-0.430806,-0.061886,0.055173,-0.442945,0.247281,0.081115,0.067775,-0.180561,0.101131,0.463296,0.589601,-0.303780,-0.134882,-0.138148,-0.243242,0.166125,0.459799,0.342310,0.111546,0.057924
